epoch,penalty_grad_correlation,step,train_bias/bias_models.0.beta,train_bias/bias_models.0.beta_grad,train_bias/bias_models.1.beta,train_bias/bias_models.1.beta_grad,train_bias/loss
4,0.821443498134613,49,-6.339828014373779,5.126739415572956e-05,-6.912286758422852,4.725345570477657e-05,0.3657272458076477
9,0.821443498134613,99,-7.0873942375183105,2.372027847741265e-05,-7.705732822418213,2.100155506923329e-05,0.3657240569591522
14,0.821443498134613,149,-7.569766044616699,1.4528033716487698e-05,-8.200645446777344,1.2732609320664778e-05,0.365723192691803
19,0.821443498134613,199,-7.93537712097168,1.0038477739726659e-05,-8.573052406311035,8.748575965000782e-06,0.36572280526161194
24,0.821443498134613,249,-8.231444358825684,7.4477311500231735e-06,-8.873417854309082,6.467294042522553e-06,0.3657225966453552
29,0.821443498134613,299,-8.48086929321289,5.794172011519549e-06,-9.125798225402832,5.018746378482319e-06,0.3657224774360657
34,0.821443498134613,349,-8.696756362915039,4.663689196604537e-06,-9.343827247619629,4.032104698126204e-06,0.36572232842445374
39,0.821443498134613,399,-8.887336730957031,3.851122073683655e-06,-9.536026000976562,3.324904582768795e-06,0.36572232842445374
44,0.821443498134613,449,-9.058144569396973,3.2442751489725197e-06,-9.708093643188477,2.7978940124739893e-06,0.36572226881980896
49,0.821443498134613,499,-9.2130708694458,2.7771898203354795e-06,-9.864025115966797,2.3929592316562776e-06,0.3657222390174866
54,0.821443498134613,549,-9.35495662689209,2.4087958081508987e-06,-10.006733894348145,2.074024223475135e-06,0.3657221794128418
59,0.821443498134613,599,-9.485955238342285,2.112298943757196e-06,-10.138413429260254,1.8176339153797016e-06,0.3657222092151642
64,0.821443498134613,649,-9.607722282409668,1.8695811832003528e-06,-10.260751724243164,1.6079566194093786e-06,0.3657221794128418
69,0.821443498134613,699,-9.721562385559082,1.6679977079547825e-06,-10.375079154968262,1.4339580047817435e-06,0.3657221496105194
74,0.821443498134613,749,-9.828529357910156,1.4984653944338788e-06,-10.482463836669922,1.2877303561253939e-06,0.3657221496105194
79,0.821443498134613,799,-9.929476737976074,1.3543307204599841e-06,-10.583775520324707,1.163484739663545e-06,0.3657221496105194
84,0.821443498134613,849,-10.02510929107666,1.2306121561778127e-06,-10.67972183227539,1.0569015103101265e-06,0.365722119808197
89,0.821443498134613,899,-10.11601448059082,1.123514834944217e-06,-10.77091121673584,9.646743137636804e-07,0.36572209000587463
94,0.821443498134613,949,-10.202692031860352,1.0301015436198213e-06,-10.857841491699219,8.84264579781302e-07,0.36572209000587463
99,0.821443498134613,999,-10.28557014465332,9.480622793489601e-07,-10.940937042236328,8.136798328450823e-07,0.36572209000587463
