NuclearNormBias.None,RidgeBias.None,epoch,penalty_grad_correlation,step,train_bias/bias_models.0.beta,train_bias/bias_models.0.beta_grad,train_bias/bias_models.1.beta,train_bias/bias_models.1.beta_grad,train_bias/loss
-12.9602689743042,-11.9599609375,4,0.821443498134613,49,-11.941391944885254,1.84436984795866e-07,-12.937883377075195,1.1290132562180588e-07,0.36572206020355225
-13.757120132446289,-12.719773292541504,9,0.821443498134613,99,-12.709454536437988,8.478061630512457e-08,-13.745502471923828,4.9770385146530316e-08,0.36572206020355225
-14.252274513244629,-13.209698677062988,14,0.821443498134613,149,-13.202338218688965,5.161770033623725e-08,-14.244051933288574,3.012232596688591e-08,0.36572203040122986
-14.622227668762207,-13.578779220581055,19,0.821443498134613,199,-13.57301139831543,3.5566330325309536e-08,-14.615808486938477,2.0730343663899475e-08,0.36572206020355225
-14.9191255569458,-13.87640380859375,24,0.821443498134613,249,-13.871647834777832,2.635404960926735e-08,-14.913846969604492,1.536897364928791e-08,0.36572203040122986
-15.167621612548828,-14.126379013061523,29,0.821443498134613,299,-14.122325897216797,2.0494409724847173e-08,-15.163132667541504,1.1967916435651205e-08,0.36572206020355225
-15.381589889526367,-14.342217445373535,34,0.821443498134613,349,-14.338680267333984,1.6497592625341895e-08,-15.377679824829102,9.6510657243698e-09,0.36572206020355225
-15.569656372070312,-14.532382011413574,39,0.821443498134613,399,-14.529240608215332,1.3629084527622126e-08,-15.566190719604492,7.989174655165243e-09,0.36572206020355225
-15.73757553100586,-14.702521324157715,44,0.821443498134613,449,-14.69969367980957,1.1489104778661385e-08,-15.73445987701416,6.749355296875592e-09,0.36572203040122986
-15.889362335205078,-14.856606483459473,49,0.821443498134613,499,-14.854032516479492,9.843125425845756e-09,-15.886530876159668,5.795461444080274e-09,0.36572203040122986
-16.027952194213867,-14.99753475189209,54,0.821443498134613,549,-14.995170593261719,8.545436358531333e-09,-16.02535629272461,5.043002460070056e-09,0.36572203040122986
-16.155527114868164,-15.127484321594238,59,0.821443498134613,599,-15.125297546386719,7.501257393016658e-09,-16.153127670288086,4.4371857299552175e-09,0.36572203040122986
-16.273778915405273,-15.248126029968262,64,0.821443498134613,649,-15.246089935302734,6.646617478622829e-09,-16.271549224853516,3.940947568281672e-09,0.36572203040122986
-16.38404083251953,-15.360787391662598,69,0.821443498134613,699,-15.358880996704102,5.936796831917945e-09,-16.381956100463867,3.5284601906937496e-09,0.36572203040122986
-16.48737907409668,-15.46652889251709,74,0.821443498134613,749,-15.464735984802246,5.339791719904952e-09,-16.48542022705078,3.181211072345036e-09,0.36572206020355225
-16.584657669067383,-15.566215515136719,79,0.821443498134613,799,-15.564521789550781,4.832137801003e-09,-16.582809448242188,2.88566748274377e-09,0.36572206020355225
-16.67658042907715,-15.660552024841309,84,0.821443498134613,849,-15.65894603729248,4.39630509774247e-09,-16.67483139038086,2.6316979706564325e-09,0.36572206020355225
-16.763751983642578,-15.750136375427246,89,0.821443498134613,899,-15.74860954284668,4.018915422676628e-09,-16.7620906829834,2.4115665020474353e-09,0.36572206020355225
-16.846670150756836,-15.835469245910645,94,0.821443498134613,949,-15.834012985229492,3.6896412591858052e-09,-16.8450870513916,2.2193136217651954e-09,0.36572206020355225
-16.925752639770508,-15.916975975036621,99,0.821443498134613,999,-15.915583610534668,3.4003790894132635e-09,-16.92424201965332,2.0502601838501278e-09,0.36572206020355225
