id,state,name,_runtime,_step,_timestamp,_wandb,bias/theta_1,bias/theta_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,l1_lambda,l1_smooth,l2_lambda,in_features,out_features,optimizer_cls,hidden_features,grad_match_loss_fn
7op1ddq9,finished,lively-sweep-180,78.78622508049011,454,1755902262.7602072,{'runtime': 79},-7.549460887908936,-7.126254081726074,153,0.0004211617633700371,19249,146.9039306640625,10.0,10.0,0.01,1e-06,10.0,1e-06,10.0,10,1,Adam,200,mse_loss
v0sdftl6,finished,true-sweep-179,79.04697775840759,454,1755902242.8819497,{'runtime': 79},-7.541226863861084,-7.17948055267334,153,0.0004214422369841486,19249,146.8121795654297,10.0,10.0,0.01,1e-05,10.0,1e-05,10.0,10,1,Adam,200,mse_loss
ny5mtag3,finished,logical-sweep-178,80.34692811965942,454,1755902227.4084492,{'runtime': 80},-7.946488857269287,-6.62309455871582,153,0.00042019650572910905,19249,144.21511840820312,10.0,10.0,0.01,0.0001,10.0,0.0001,10.0,10,1,Adam,200,mse_loss
8f6uz2ys,finished,snowy-sweep-177,34.91637396812439,221,1755902176.73826,{'runtime': 35},-0.22000180184841156,-0.21824748814105988,60,0.00020640206639654937,7599,144.11380004882812,10.0,10.0,0.01,0.001,10.0,0.001,10.0,10,1,Adam,200,mse_loss
u3th91c6,finished,electric-sweep-176,58.302746057510376,344,1755902186.307667,{'runtime': 59},-4.971654891967773,-4.9072465896606445,109,0.01781526207923889,13749,144.11424255371094,10.0,10.0,0.01,0.01,10.0,0.01,10.0,10,1,Adam,200,mse_loss
hvua9f7o,finished,hopeful-sweep-175,78.13130140304565,454,1755902199.5200334,{'runtime': 78},-7.435127258300781,-7.080948352813721,153,0.0004202387644909322,19249,146.97506713867188,10.0,1.0,0.01,1e-06,10.0,1e-06,1.0,10,1,Adam,200,mse_loss
kf2arfe2,finished,fancy-sweep-174,77.21184778213501,454,1755902180.5131247,{'runtime': 77},-7.547519683837891,-7.173990726470947,153,0.0004216143279336393,19249,146.7372283935547,10.0,1.0,0.01,1e-05,10.0,1e-05,1.0,10,1,Adam,200,mse_loss
xyeax8m1,finished,devoted-sweep-173,79.9001533985138,454,1755902163.105415,{'runtime': 80},-6.6427531242370605,-5.40596342086792,153,0.00041840309859253466,19249,144.20535278320312,10.0,1.0,0.01,0.0001,10.0,0.0001,1.0,10,1,Adam,200,mse_loss
spm57ifm,finished,ancient-sweep-172,35.2144889831543,221,1755902118.424031,{'runtime': 35},-0.29565510153770447,-0.2934955358505249,60,0.00019971061556134373,7599,144.1138153076172,10.0,1.0,0.01,0.001,10.0,0.001,1.0,10,1,Adam,200,mse_loss
pof7p6ik,finished,valiant-sweep-171,59.44267654418945,344,1755902127.2692285,{'runtime': 60},-4.9615983963012695,-4.897066116333008,109,0.01781509816646576,13749,144.1142120361328,10.0,1.0,0.01,0.01,10.0,0.01,1.0,10,1,Adam,200,mse_loss
tkee4bw8,finished,ruby-sweep-170,79.82523560523987,454,1755902139.8236775,{'runtime': 80},-7.455188751220703,-7.151472568511963,153,0.0004206268349662423,19249,146.9868621826172,10.0,0.1,0.01,1e-06,10.0,1e-06,0.1,10,1,Adam,200,mse_loss
obi09ala,finished,major-sweep-169,78.97621321678162,454,1755902107.2412562,{'runtime': 79},-7.450042247772217,-7.121428489685059,153,0.00042059962288476527,19249,146.7396240234375,10.0,0.1,0.01,1e-05,10.0,1e-05,0.1,10,1,Adam,200,mse_loss
pntui8nq,finished,mild-sweep-168,78.17598152160645,454,1755902099.3121357,{'runtime': 78},-7.924530506134033,-6.666970252990723,153,0.000420243974076584,19249,144.21450805664062,10.0,0.1,0.01,0.0001,10.0,0.0001,0.1,10,1,Adam,200,mse_loss
jboj7wp6,finished,dandy-sweep-167,36.1346001625061,221,1755902044.8675492,{'runtime': 36},-0.6168095469474792,-0.6132038831710815,60,0.00017375696916133163,7599,144.1139678955078,10.0,0.1,0.01,0.001,10.0,0.001,0.1,10,1,Adam,200,mse_loss
