run_id,run_name,run_state,sweep_id,sweep_name,created_at,lr,seed,depth,width,lr_bias,lr_model,input_dim,l2_lambda,noise_std,batch_size,output_dim,optimizer_cls,patience_bias,function_class,patience_model,max_epochs_bias,max_epochs_model,grad_match_loss_fn,bias/beta,epoch,l2/abs_error,l2/estimated,l2/rel_error,l2/true,l2_abs_error,l2_estimated,l2_rel_error,l2_true,train/loss,trainer/global_step,val/loss
jr798mfr,fiery-sweep-135,finished,9kyq9owq,9kyq9owq,2025-09-29T22:03:02Z,0.01,42,5,256,0.01,0.001,10,1.0,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,-1.814302444458008,132,2.8146334886550903,-1.8146334886550903,2.8146334886550903,1.0,2.8146334886550903,-1.8146334886550903,2.8146334886550903,1.0,8.233286058074857e+21,8239,1.442596836605952e+16
grklrzsk,amber-sweep-134,finished,9kyq9owq,9kyq9owq,2025-09-29T22:03:01Z,0.01,42,5,128,0.01,0.001,10,1.0,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,18.381832122802734,304,17.38184356689453,18.38184356689453,17.38184356689453,1.0,17.38184356689453,18.38184356689453,17.38184356689453,1.0,53821503197960730000,18909,1.270227987857408e+16
zpau0eum,misunderstood-sweep-133,finished,9kyq9owq,9kyq9owq,2025-09-29T22:02:03Z,0.01,42,5,64,0.01,0.001,10,1.0,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,5.268680095672607,167,4.274753570556641,5.274753570556641,4.274753570556641,1.0,4.274753570556641,5.274753570556641,4.274753570556641,1.0,1.6448258408408997e+25,10409,9294245877776384.0
nrr1cbu1,playful-sweep-132,finished,9kyq9owq,9kyq9owq,2025-09-29T22:01:55Z,0.01,42,5,256,0.01,0.001,10,0.1,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,13.752891540527344,164,13.65201416015625,13.75201416015625,136.5201416015625,0.1,13.65201416015625,13.75201416015625,136.5201416015625,0.1,3.5965344114964085e+21,10229,1.498082982232064e+16
ualn8cj3,kind-sweep-131,finished,9kyq9owq,9kyq9owq,2025-09-29T22:01:42Z,0.01,42,5,128,0.01,0.001,10,0.1,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,13.544139862060549,136,13.450301551818848,13.550301551818848,134.50301551818848,0.1,13.450301551818848,13.550301551818848,134.50301551818848,0.1,555076535372761500000,8489,1.2394935240097792e+16
almqchft,effortless-sweep-130,finished,9kyq9owq,9kyq9owq,2025-09-29T22:01:16Z,0.01,42,5,64,0.01,0.001,10,0.1,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,-10.45107078552246,116,10.564130401611328,-10.464130401611328,105.64130401611328,0.1,10.564130401611328,-10.464130401611328,105.64130401611328,0.1,1.1757551150055856e+23,7249,1.0619068268675072e+16
joutlrir,worldly-sweep-129,finished,9kyq9owq,9kyq9owq,2025-09-29T22:00:42Z,0.01,42,5,256,0.01,0.001,10,0.01,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,24.746973037719727,271,24.737894287109373,24.747894287109375,2473.7894287109375,0.01,24.737894287109373,24.747894287109375,2473.7894287109375,0.01,4485091548140142600,16859,1.651504045883392e+16
03c2hzpk,noble-sweep-128,finished,9kyq9owq,9kyq9owq,2025-09-29T22:00:35Z,0.01,42,5,128,0.01,0.001,10,0.01,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,-17.38330841064453,226,17.400384674072267,-17.390384674072266,1740.0384674072268,0.01,17.400384674072267,-17.390384674072266,1740.0384674072268,0.01,2.4999182042158403e+22,14069,1.3406186363682816e+16
29rc4v9l,eager-sweep-127,finished,9kyq9owq,9kyq9owq,2025-09-29T22:00:30Z,0.01,42,5,64,0.01,0.001,10,0.01,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,6.1169867515563965,103,6.100698223114014,6.110698223114014,610.0698223114014,0.01,6.100698223114014,6.110698223114014,610.0698223114014,0.01,7.78157884350928e+23,6439,8281176909283328.0
p47sn81v,prime-sweep-126,finished,9kyq9owq,9kyq9owq,2025-09-29T22:00:08Z,0.01,42,5,256,0.01,0.001,10,0.001,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,-7.026356220245361,121,7.0434103736877445,-7.042410373687744,7043.410373687744,0.001,7.0434103736877445,-7.042410373687744,7043.410373687744,0.001,1.1071272851146276e+21,7559,1.5727908244946944e+16
y78v7u26,neat-sweep-125,finished,9kyq9owq,9kyq9owq,2025-09-29T21:59:57Z,0.01,42,5,128,0.01,0.001,10,0.001,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,-21.5592041015625,112,21.589603973388673,-21.588603973388672,21589.603973388672,0.001,21.589603973388673,-21.588603973388672,21589.603973388672,0.001,2.981527518867307e+22,6999,1.132347726495744e+16
f13bj63v,pretty-sweep-124,finished,9kyq9owq,9kyq9owq,2025-09-29T21:59:50Z,0.01,42,5,64,0.01,0.001,10,0.001,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,10.496137619018556,115,10.497298645019532,10.498298645019531,10497.298645019531,0.001,10.497298645019532,10.498298645019531,10497.298645019531,0.001,6.077464302524349e+24,7189,8434967340122112.0
v90a4tmk,polished-sweep-123,finished,9kyq9owq,9kyq9owq,2025-09-29T21:59:25Z,0.01,42,5,256,0.01,0.001,10,0.0001,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,16.438796997070312,194,16.441304342651367,16.441404342651367,164413.04342651367,0.0001,16.441304342651367,16.441404342651367,164413.04342651367,0.0001,1520370594028191500,12089,1.4705604023025664e+16
c41uuqxp,dry-sweep-122,finished,9kyq9owq,9kyq9owq,2025-09-29T21:58:52Z,0.01,42,5,128,0.01,0.001,10,0.0001,0.1,64,1,Adam,100,polynomial,100,5000,5000,mse_loss,-3.688133001327514,131,3.6903594566345217,-3.6902594566345215,36903.594566345215,0.0001,3.6903594566345217,-3.6902594566345215,36903.594566345215,0.0001,410376899692138100000,8179,1.1122001422843904e+16
