function_class,depth,width,noise_std,l2_lambda,runs,mean_abs_error,std_abs_error,median_rel_error,mean_rel_error
linear,1,64,0.1,0.0001,1,0.008906363339722157,,89.06363339722157,89.06363339722157
linear,1,64,0.1,0.001,1,0.0005632833819836378,,0.5632833819836378,0.5632833819836378
linear,1,64,0.1,0.01,1,0.0031615372188389303,,0.316153721883893,0.316153721883893
linear,1,64,0.1,0.1,1,0.017043976485729223,,0.17043976485729223,0.17043976485729223
linear,1,64,0.1,1.0,1,0.00011551380157470704,,0.00011551380157470704,0.00011551380157470704
linear,1,64,0.5,0.0001,1,0.012483439238369464,,124.83439238369463,124.83439238369463
linear,1,64,0.5,0.001,1,0.007471726577728987,,7.471726577728987,7.471726577728987
linear,1,64,0.5,0.01,1,0.019285964071750643,,1.9285964071750643,1.9285964071750643
linear,1,64,0.5,0.1,1,0.0032308712601661627,,0.03230871260166163,0.03230871260166163
linear,1,64,0.5,1.0,1,0.01451563835144043,,0.01451563835144043,0.01451563835144043
linear,1,128,0.1,0.0001,1,0.0045465800747275355,,45.46580074727535,45.46580074727535
linear,1,128,0.1,0.001,1,0.003735595917329192,,3.735595917329192,3.735595917329192
linear,1,128,0.1,0.01,1,0.004718291349709034,,0.47182913497090334,0.47182913497090334
linear,1,128,0.1,0.1,1,0.06420963406562805,,0.6420963406562804,0.6420963406562804
linear,1,128,0.1,1.0,1,0.0011730790138244629,,0.0011730790138244629,0.0011730790138244629
linear,1,128,0.5,0.0001,1,0.0020731199230998756,,20.731199230998755,20.731199230998755
linear,1,128,0.5,0.001,1,0.009884836316108704,,9.884836316108702,9.884836316108702
linear,1,128,0.5,0.01,1,0.01382918887771666,,1.382918887771666,1.382918887771666
linear,1,128,0.5,0.1,1,0.04735113084316253,,0.4735113084316253,0.4735113084316253
linear,1,128,0.5,1.0,1,0.00947868824005127,,0.00947868824005127,0.00947868824005127
linear,1,256,0.1,0.0001,1,0.0015007893623784185,,15.007893623784184,15.007893623784184
linear,1,256,0.1,0.001,1,0.003862914465367794,,3.862914465367794,3.862914465367794
linear,1,256,0.1,0.01,1,0.012161995992064476,,1.2161995992064476,1.2161995992064476
linear,1,256,0.1,0.1,1,0.04043578505516052,,0.4043578505516052,0.4043578505516052
linear,1,256,0.1,1.0,1,0.013380467891693115,,0.013380467891693115,0.013380467891693115
linear,1,256,0.5,0.0001,1,0.002684654963761568,,26.84654963761568,26.84654963761568
linear,1,256,0.5,0.001,1,0.002342147123068571,,2.342147123068571,2.342147123068571
linear,1,256,0.5,0.01,1,0.01072722464799881,,1.072722464799881,1.072722464799881
linear,1,256,0.5,0.1,1,0.006637750566005712,,0.06637750566005712,0.06637750566005712
linear,1,256,0.5,1.0,1,0.01149129867553711,,0.01149129867553711,0.01149129867553711
linear,3,64,0.1,0.0001,1,0.003649664746969938,,36.49664746969938,36.49664746969938
linear,3,64,0.1,0.001,1,0.035567967385053634,,35.567967385053635,35.567967385053635
linear,3,64,0.1,0.01,1,0.03898680604994297,,3.898680604994297,3.898680604994297
linear,3,64,0.1,0.1,1,0.0007913842797279413,,0.007913842797279413,0.007913842797279413
linear,3,64,0.1,1.0,1,0.12736088037490845,,0.12736088037490845,0.12736088037490845
linear,3,64,0.5,0.0001,1,0.0039080289959907534,,39.08028995990753,39.08028995990753
linear,3,64,0.5,0.001,1,0.00041244896035641434,,0.4124489603564143,0.4124489603564143
linear,3,64,0.5,0.01,1,0.02437218442559242,,2.437218442559242,2.437218442559242
linear,3,64,0.5,0.1,1,0.08291611969470977,,0.8291611969470977,0.8291611969470977
linear,3,64,0.5,1.0,1,0.21981698274612427,,0.21981698274612427,0.21981698274612427
linear,3,128,0.1,0.0001,1,0.004843748810142279,,48.43748810142279,48.43748810142279
linear,3,128,0.1,0.001,1,0.001952178940176964,,1.952178940176964,1.952178940176964
linear,3,128,0.1,0.01,1,0.02527445390820503,,2.5274453908205032,2.5274453908205032
linear,3,128,0.1,0.1,1,0.006457252800464636,,0.06457252800464636,0.06457252800464636
linear,3,128,0.1,1.0,1,0.1998351812362671,,0.1998351812362671,0.1998351812362671
linear,3,128,0.5,0.0001,1,0.003744535085186362,,37.44535085186362,37.44535085186362
