id,state,name,_runtime,_step,_timestamp,_wandb,bias/lambda_1,bias/lambda_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,input_dim,l1_lambda,l1_smooth,l2_lambda,hidden_dim,output_dim,optimizer_cls,bias_model_kwargs,grad_match_loss_fn
hqmwm5sx,finished,warm-sweep-36,19.665735721588135,134,1749597588.5101256,{'runtime': 20},0.2982042133808136,0.2984395921230316,25,0.0013051402056589725,3249,144.1142120361328,10.0,10.0,0.001,0.01,10,10.0,0.01,10.0,200,1,Adam,,mse_loss
8xuasazo,finished,rural-sweep-35,19.815612316131592,134,1749597586.1574323,{'runtime': 20},0.29876989126205444,0.2990082800388336,25,0.0013045676751062274,3249,144.11419677734375,10.0,1.0,0.001,0.01,10,10.0,0.01,1.0,200,1,Adam,,mse_loss
nn4nnjy0,finished,desert-sweep-34,19.497931718826297,134,1749597581.6136038,{'runtime': 20},0.2988587021827698,0.2990959584712982,25,0.0013045129599049687,3249,144.11419677734375,10.0,0.1,0.001,0.01,10,10.0,0.01,0.1,200,1,Adam,,mse_loss
u4tc69vo,finished,zany-sweep-33,19.380075931549072,134,1749597581.4719748,{'runtime': 19},0.29778388142585754,0.2980231046676636,25,0.001304329140111804,3249,144.11419677734375,10.0,0.01,0.001,0.01,10,10.0,0.01,0.01,200,1,Adam,,mse_loss
uw98f4li,finished,dulcet-sweep-32,20.01435375213623,134,1749597560.9017727,{'runtime': 20},0.29560163617134094,0.29584354162216187,25,0.0013039701152592895,3249,144.11424255371094,10.0,0.001,0.001,0.01,10,10.0,0.01,0.001,200,1,Adam,,mse_loss
k26e3xw4,finished,confused-sweep-31,20.085540294647217,134,1749597558.2472184,{'runtime': 20},0.29856058955192566,0.2987993061542511,25,0.0013044567313045263,3249,144.11419677734375,10.0,0.0001,0.001,0.01,10,10.0,0.01,0.0001,200,1,Adam,,mse_loss
gjql03q0,finished,pious-sweep-30,19.027902603149418,134,1749597536.4220526,{'runtime': 19},0.5661828517913818,0.5661319494247437,25,0.0010611122706905007,3249,144.11386108398438,1.0,10.0,0.001,0.01,10,1.0,0.01,10.0,200,1,Adam,,mse_loss
1x5k8gaa,finished,eternal-sweep-29,35.54940438270569,311,1749597542.1552677,{'runtime': 36},0.9992995858192444,1.0244876146316528,26,0.053521718829870224,3349,36.33491897583008,1.0,1.0,0.001,0.01,10,1.0,0.01,1.0,200,1,Adam,,mse_loss
3jz9c9po,finished,lyric-sweep-28,41.50395894050598,340,1749597545.518261,{'runtime': 42},0.9980192184448242,0.10276058316230774,39,0.002620986895635724,4999,15.28452968597412,1.0,0.1,0.001,0.01,10,1.0,0.01,0.1,200,1,Adam,,mse_loss
q2st1joj,finished,glorious-sweep-27,59.20382595062256,514,1749597559.23834,{'runtime': 59},0.9185701012611388,0.014295797795057297,40,0.002932114526629448,5099,12.515053749084473,1.0,0.01,0.001,0.01,10,1.0,0.01,0.01,200,1,Adam,,mse_loss
7l2c0ef3,finished,wandering-sweep-26,61.08289575576782,514,1749597544.7307148,{'runtime': 61},0.9140384793281556,0.005685500800609589,40,0.003089716425165534,5099,12.177465438842772,1.0,0.001,0.001,0.01,10,1.0,0.01,0.001,200,1,Adam,,mse_loss
ek4o639r,finished,firm-sweep-25,58.47505474090576,514,1749597519.8091388,{'runtime': 59},0.9133999347686768,0.004849037155508995,40,0.003109054872766137,5099,12.142422676086426,1.0,0.0001,0.001,0.01,10,1.0,0.01,0.0001,200,1,Adam,,mse_loss
q0kbocfq,finished,genial-sweep-24,17.5912024974823,126,1749597478.3681304,{'runtime': 18},1.4467320442199707,2.520463705062866,22,0.19522012770175937,2849,142.96351623535156,0.1,10.0,0.001,0.01,10,0.1,0.01,10.0,200,1,Adam,,mse_loss
jjg49u3e,finished,trim-sweep-23,56.77373504638672,480,1749597515.013398,{'runtime': 57},0.08338166773319244,1.0133527517318726,39,0.009328321553766727,4999,26.097806930541992,0.1,1.0,0.001,0.01,10,0.1,0.01,1.0,200,1,Adam,,mse_loss
aj2zetef,finished,glorious-sweep-22,70.03770565986633,650,1749597497.0772598,{'runtime': 70},0.09841438382863998,0.09448298066854476,44,0.0024656772147864103,5599,4.028954982757568,0.1,0.1,0.001,0.01,10,0.1,0.01,0.1,200,1,Adam,,mse_loss
iqa1amt5,finished,deft-sweep-21,57.35376453399658,514,1749597484.4608486,{'runtime': 58},0.029170483350753784,0.0207088366150856,40,0.00148917140904814,5099,1.7851041555404663,0.1,0.01,0.001,0.01,10,0.1,0.01,0.01,200,1,Adam,,mse_loss
gwv6d6zl,finished,fresh-sweep-20,57.433758020401,514,1749597482.962986,{'runtime': 58},0.018524110317230225,0.014176025055348871,40,0.001689820783212781,5099,1.5265772342681885,0.1,0.001,0.001,0.01,10,0.1,0.01,0.001,200,1,Adam,,mse_loss
r32h28jv,finished,ancient-sweep-19,60.02723240852356,514,1749597463.2288997,{'runtime': 60},0.017160408198833466,0.013598507270216942,40,0.0017137619433924556,5099,1.4993083477020264,0.1,0.0001,0.001,0.01,10,0.1,0.01,0.0001,200,1,Adam,,mse_loss
qaxk96ch,finished,eager-sweep-18,40.70210671424866,239,1749597434.0861917,{'runtime': 41},0.3418549597263336,6.044589996337891,67,0.09711892157793044,8499,141.2287139892578,0.01,10.0,0.001,0.01,10,0.01,0.01,10.0,200,1,Adam,,mse_loss
8piad2ad,finished,proud-sweep-17,21.578205347061157,155,1749597402.5847034,{'runtime': 22},0.028025470674037933,1.1141880750656128,28,0.008074779994785786,3599,25.015277862548828,0.01,1.0,0.001,0.01,10,0.01,0.01,1.0,200,1,Adam,,mse_loss
jfkrdfzj,finished,hopeful-sweep-16,63.78999161720276,581,1749597439.8265436,{'runtime': 64},-0.016546769067645073,0.13662981986999512,36,0.0037190148141235113,4599,3.071312427520752,0.01,0.1,0.001,0.01,10,0.01,0.01,0.1,200,1,Adam,,mse_loss
ug7r3jq3,finished,morning-sweep-15,64.02054572105408,581,1749597437.0848017,{'runtime': 64},-0.010011599399149418,0.04465842992067337,36,0.004100690595805645,4599,0.9158989787101746,0.01,0.01,0.001,0.01,10,0.01,0.01,0.01,200,1,Adam,,mse_loss
7nf19gck,finished,clean-sweep-14,64.35903429985046,581,1749597406.7310102,{'runtime': 64},-0.005962224677205086,0.008109664544463158,43,0.0035195183008909225,5499,0.7343956828117371,0.01,0.001,0.001,0.01,10,0.01,0.01,0.001,200,1,Adam,,mse_loss
