id,state,name,_wandb,l1,l2,lr,smooth,input_dim,l1_lambda,l1_smooth,l2_lambda,hidden_dim,output_dim,_runtime,_step,_timestamp,bias/lambda_1,bias/lambda_2,epoch,train/loss,trainer/global_step,val/loss,optimizer_cls,bias_model_kwargs,grad_match_loss_fn
hbiv6d94,failed,different-sweep-180,{'runtime': 1},10.0,10.0,0.001,1e-6,10,10.0,1e-6,10.0,200,1,,,,,,,,,,,,
qxioveyq,failed,vibrant-sweep-178,{'runtime': 1},10.0,10.0,0.001,1e-4,10,10.0,1e-4,10.0,200,1,,,,,,,,,,,,
2b5my8ot,failed,misunderstood-sweep-179,{'runtime': 1},10.0,10.0,0.001,1e-5,10,10.0,1e-5,10.0,200,1,,,,,,,,,,,,
mfn4o9zl,finished,lively-sweep-177,{'runtime': 36},10.0,10.0,0.01,0.001,10,10.0,0.001,10.0,200,1,35.950575828552246,221.0,1749669692.7184007,0.6371724605560303,0.635509192943573,60.0,0.00018698303028941152,7599.0,144.1139373779297,Adam,,mse_loss
cofh15pj,finished,rosy-sweep-176,{'runtime': 37},10.0,10.0,0.01,0.01,10,10.0,0.01,10.0,200,1,36.592413663864136,221.0,1749669693.3690157,-1.5024994611740112,-1.500148892402649,60.0,0.00019674697250593456,7599.0,144.1142120361328,Adam,,mse_loss
qk982rt0,failed,wild-sweep-175,{'runtime': 1},10.0,1.0,0.001,1e-6,10,10.0,1e-6,1.0,200,1,,,,,,,,,,,,
55u6sh0a,failed,graceful-sweep-173,{'runtime': 1},10.0,1.0,0.001,1e-4,10,10.0,1e-4,1.0,200,1,,,,,,,,,,,,
ucqsf9vl,failed,polished-sweep-174,{'runtime': 1},10.0,1.0,0.001,1e-5,10,10.0,1e-5,1.0,200,1,,,,,,,,,,,,
ijm9n55a,finished,summer-sweep-172,{'runtime': 37},10.0,1.0,0.01,0.001,10,10.0,0.001,1.0,200,1,36.7090847492218,221.0,1749669666.6505258,0.6513853073120117,0.6496644616127014,60.0,0.00018940081645268947,7599.0,144.11392211914062,Adam,,mse_loss
mk790egs,finished,rural-sweep-171,{'runtime': 37},10.0,1.0,0.01,0.01,10,10.0,0.01,1.0,200,1,37.14427375793457,221.0,1749669666.5160327,-1.5174412727355957,-1.5150426626205444,60.0,0.00019653586787171665,7599.0,144.11419677734375,Adam,,mse_loss
drezz9qm,failed,playful-sweep-170,{'runtime': 1},10.0,0.1,0.001,1e-6,10,10.0,1e-6,0.1,200,1,,,,,,,,,,,,
ysnw15q0,failed,revived-sweep-169,{'runtime': 1},10.0,0.1,0.001,1e-5,10,10.0,1e-5,0.1,200,1,,,,,,,,,,,,
de7t1ij8,finished,swept-sweep-167,{'runtime': 36},10.0,0.1,0.01,0.001,10,10.0,0.001,0.1,200,1,36.28310132026672,221.0,1749669640.4514272,0.8064156770706177,0.8039166927337646,60.0,0.00020936857617925853,7599.0,144.1138153076172,Adam,,mse_loss
0ek518to,failed,hearty-sweep-168,{'runtime': 1},10.0,0.1,0.001,1e-4,10,10.0,1e-4,0.1,200,1,,,,,,,,,,,,
8ka04suj,finished,rosy-sweep-166,{'runtime': 36},10.0,0.1,0.01,0.01,10,10.0,0.01,0.1,200,1,35.77425813674927,221.0,1749669634.438362,-1.5198363065719604,-1.517434000968933,60.0,0.00019655880169011652,7599.0,144.11419677734375,Adam,,mse_loss
wtfo4y6p,failed,volcanic-sweep-165,{'runtime': 1},10.0,0.01,0.001,1e-6,10,10.0,1e-6,0.01,200,1,,,,,,,,,,,,
ikq5fa6s,failed,usual-sweep-164,{'runtime': 1},10.0,0.01,0.001,1e-5,10,10.0,1e-5,0.01,200,1,,,,,,,,,,,,
ff6xq6km,failed,quiet-sweep-163,{'runtime': 1},10.0,0.01,0.001,1e-4,10,10.0,1e-4,0.01,200,1,,,,,,,,,,,,
gh6l40lv,finished,misunderstood-sweep-162,{'runtime': 37},10.0,0.01,0.01,0.001,10,10.0,0.001,0.01,200,1,36.243086099624634,221.0,1749669616.437469,0.3666034042835235,0.3657971918582916,60.0,0.00015275762416422367,7599.0,144.11427307128906,Adam,,mse_loss
i5hkqfuq,finished,distinctive-sweep-161,{'runtime': 37},10.0,0.01,0.01,0.01,10,10.0,0.01,0.01,200,1,37.04149532318115,221.0,1749669610.3754992,-1.4901010990142822,-1.4877365827560425,60.0,0.00019487357349134984,7599.0,144.11419677734375,Adam,,mse_loss
j2nx7p63,failed,valiant-sweep-160,{'runtime': 1},10.0,0.001,0.001,1e-6,10,10.0,1e-6,0.001,200,1,,,,,,,,,,,,
21lvxax7,failed,icy-sweep-159,{'runtime': 1},10.0,0.001,0.001,1e-5,10,10.0,1e-5,0.001,200,1,,,,,,,,,,,,
pjm8138a,failed,glad-sweep-158,{'runtime': 1},10.0,0.001,0.001,1e-4,10,10.0,1e-4,0.001,200,1,,,,,,,,,,,,
qj03fw5f,finished,prime-sweep-157,{'runtime': 37},10.0,0.001,0.01,0.001,10,10.0,0.001,0.001,200,1,36.471781730651855,221.0,1749669585.1233597,0.7663730978965759,0.7640846371650696,60.0,0.00020424228569027036,7599.0,144.11383056640625,Adam,,mse_loss
4g9dooxy,finished,different-sweep-156,{'runtime': 36},10.0,0.001,0.01,0.01,10,10.0,0.01,0.001,200,1,35.635457038879395,221.0,1749669579.807774,-1.4324421882629397,-1.4301446676254272,60.0,0.00019160243391525,7599.0,144.11424255371094,Adam,,mse_loss
acb8zg3b,failed,wild-sweep-155,{'runtime': 1},10.0,0.0001,0.001,1e-6,10,10.0,1e-6,0.0001,200,1,,,,,,,,,,,,
b2yhhljb,failed,eternal-sweep-154,{'runtime': 1},10.0,0.0001,0.001,1e-5,10,10.0,1e-5,0.0001,200,1,,,,,,,,,,,,
rss4vrs0,failed,worthy-sweep-153,{'runtime': 1},10.0,0.0001,0.001,1e-4,10,10.0,1e-4,0.0001,200,1,,,,,,,,,,,,
oijm99vo,finished,restful-sweep-152,{'runtime': 36},10.0,0.0001,0.01,0.001,10,10.0,0.001,0.0001,200,1,36.02500867843628,221.0,1749669558.5166566,0.7544156312942505,0.7521908283233643,60.0,0.0002027079463005066,7599.0,144.1138458251953,Adam,,mse_loss
81i3p221,finished,cosmic-sweep-151,{'runtime': 36},10.0,0.0001,0.01,0.01,10,10.0,0.01,0.0001,200,1,36.04909348487854,221.0,1749669558.1026974,-1.5114996433258057,-1.5091058015823364,60.0,0.00019607809372246263,7599.0,144.11419677734375,Adam,,mse_loss
f6ra9zxi,failed,electric-sweep-150,{'runtime': 1},1.0,10.0,0.001,1e-6,10,1.0,1e-6,10.0,200,1,,,,,,,,,,,,
fj1djq0b,failed,ethereal-sweep-149,{'runtime': 1},1.0,10.0,0.001,1e-5,10,1.0,1e-5,10.0,200,1,,,,,,,,,,,,
26py5lg6,failed,silver-sweep-148,{'runtime': 1},1.0,10.0,0.001,1e-4,10,1.0,1e-4,10.0,200,1,,,,,,,,,,,,
dpcy64q4,finished,dry-sweep-147,{'runtime': 36},1.0,10.0,0.01,0.001,10,1.0,0.001,10.0,200,1,35.60776209831238,221.0,1749669526.33832,-0.24051016569137573,-0.2393248975276947,60.0,0.00021818943787366152,7599.0,144.11390686035156,Adam,,mse_loss
9f1vrrzc,finished,lyric-sweep-146,{'runtime': 37},1.0,10.0,0.01,0.01,10,1.0,0.01,10.0,200,1,36.655789613723755,221.0,1749669526.0484517,0.9385316371917723,0.9381717443466188,60.0,0.00021586730144917965,7599.0,144.11386108398438,Adam,,mse_loss
8erh9sr4,failed,scarlet-sweep-145,{'runtime': 1},1.0,1.0,0.001,1e-6,10,1.0,1e-6,1.0,200,1,,,,,,,,,,,,
u5icktdg,failed,comic-sweep-144,{'runtime': 1},1.0,1.0,0.001,1e-5,10,1.0,1e-5,1.0,200,1,,,,,,,,,,,,
pe8y8uzl,failed,dutiful-sweep-143,{'runtime': 1},1.0,1.0,0.001,1e-4,10,1.0,1e-4,1.0,200,1,,,,,,,,,,,,
b04zxbuj,finished,happy-sweep-142,{'runtime': 53},1.0,1.0,0.01,0.001,10,1.0,0.001,1.0,200,1,52.85130739212036,399.0,1749669500.5796564,0.698723316192627,1.1264636516571045,61.0,0.023390643298625943,7749.0,36.38511657714844,Adam,,mse_loss
qbyedcny,finished,gentle-sweep-141,{'runtime': 53},1.0,1.0,0.01,0.01,10,1.0,0.01,1.0,200,1,52.70717930793762,399.0,1749669499.9625542,0.9877627491950988,1.0423587560653689,61.0,0.022685054689645767,7749.0,36.33491897583008,Adam,,mse_loss
jff3hfxb,failed,easy-sweep-140,{'runtime': 1},1.0,0.1,0.001,1e-6,10,1.0,1e-6,0.1,200,1,,,,,,,,,,,,
dirzzfpk,failed,dark-sweep-139,{'runtime': 1},1.0,0.1,0.001,1e-5,10,1.0,1e-5,0.1,200,1,,,,,,,,,,,,
cgbvuy2a,failed,fluent-sweep-138,{'runtime': 1},1.0,0.1,0.001,1e-4,10,1.0,1e-4,0.1,200,1,,,,,,,,,,,,
h31sotov,finished,fluent-sweep-137,{'runtime': 97},1.0,0.1,0.01,0.001,10,1.0,0.001,0.1,200,1,96.27972626686096,622.0,1749669500.9005303,0.7996709942817688,0.1738721877336502,152.0,0.004561339505016804,19099.0,15.334453582763672,Adam,,mse_loss
mof6nj14,failed,visionary-sweep-135,{'runtime': 1},1.0,0.01,0.001,1e-6,10,1.0,1e-6,0.01,200,1,,,,,,,,,,,,
8n4k4el9,finished,prime-sweep-136,{'runtime': 73},1.0,0.1,0.01,0.01,10,1.0,0.01,0.1,200,1,72.74051904678345,497.0,1749669471.266973,0.9964360594749452,0.09186212718486786,102.0,0.007448178250342608,12849.0,15.28452968597412,Adam,,mse_loss
nctx7rpw,failed,kind-sweep-134,{'runtime': 1},1.0,0.01,0.001,1e-5,10,1.0,1e-5,0.01,200,1,,,,,,,,,,,,
gr14ibgv,failed,pretty-sweep-133,{'runtime': 1},1.0,0.01,0.001,1e-4,10,1.0,1e-4,0.01,200,1,,,,,,,,,,,,
vz5wjvwh,finished,helpful-sweep-132,{'runtime': 98},1.0,0.01,0.01,0.001,10,1.0,0.001,0.01,200,1,98.17140412330627,707.0,1749669467.065957,0.7451008558273315,0.049919817596673965,117.0,0.005912342108786106,14749.0,12.565275192260742,Adam,,mse_loss
0fz9gh4n,finished,ethereal-sweep-131,{'runtime': 78},1.0,0.01,0.01,0.01,10,1.0,0.01,0.01,200,1,77.7900595664978,602.0,1749669443.0338016,0.908589780330658,0.0003480252344161272,75.0,0.00537751242518425,9499.0,12.515053749084473,Adam,,mse_loss
v513x4gm,failed,smooth-sweep-130,{'runtime': 1},1.0,0.001,0.001,1e-6,10,1.0,1e-6,0.001,200,1,,,,,,,,,,,,
w6b495o8,failed,earthy-sweep-129,{'runtime': 1},1.0,0.001,0.001,1e-5,10,1.0,1e-5,0.001,200,1,,,,,,,,,,,,
tc4mk48y,failed,azure-sweep-128,{'runtime': 1},1.0,0.001,0.001,1e-4,10,1.0,1e-4,0.001,200,1,,,,,,,,,,,,
worc1yd9,finished,electric-sweep-127,{'runtime': 94},1.0,0.001,0.01,0.001,10,1.0,0.001,0.001,200,1,94.04159712791444,707.0,1749669427.092539,0.7597076892852783,0.03686802089214325,117.0,0.00611520279198885,14749.0,12.227606773376465,Adam,,mse_loss
s65mllza,finished,leafy-sweep-126,{'runtime': 75},1.0,0.001,0.01,0.01,10,1.0,0.01,0.001,200,1,75.16347026824951,602.0,1749669405.0711882,0.904808759689331,-0.00797600019723177,75.0,0.005646690260618925,9499.0,12.177465438842772,Adam,,mse_loss
gvrb0yoa,failed,eager-sweep-125,{'runtime': 1},1.0,0.0001,0.001,1e-6,10,1.0,1e-6,0.0001,200,1,,,,,,,,,,,,
2u45hm52,failed,playful-sweep-124,{'runtime': 1},1.0,0.0001,0.001,1e-5,10,1.0,1e-5,0.0001,200,1,,,,,,,,,,,,
d7xwtphy,failed,hardy-sweep-123,{'runtime': 1},1.0,0.0001,0.001,1e-4,10,1.0,1e-4,0.0001,200,1,,,,,,,,,,,,
e38wzc3u,finished,soft-sweep-122,{'runtime': 95},1.0,0.0001,0.01,0.001,10,1.0,0.001,0.0001,200,1,94.72307658195496,707.0,1749669377.6134837,0.7504649758338928,0.03718449547886848,117.0,0.006194042973220348,14749.0,12.19261360168457,Adam,,mse_loss
0ore1sbj,finished,hardy-sweep-121,{'runtime': 76},1.0,0.0001,0.01,0.01,10,1.0,0.01,0.0001,200,1,75.97918033599854,602.0,1749669357.8931413,0.9042522311210632,-0.008775818161666393,75.0,0.005679342430084944,9499.0,12.142422676086426,Adam,,mse_loss
qyydy5cb,failed,chocolate-sweep-120,{'runtime': 1},0.1,10.0,0.001,1e-6,10,0.1,1e-6,10.0,200,1,,,,,,,,,,,,
55lzdxv8,failed,grateful-sweep-119,{'runtime': 1},0.1,10.0,0.001,1e-5,10,0.1,1e-5,10.0,200,1,,,,,,,,,,,,
