id,state,name,_runtime,_step,_timestamp,_wandb,bias/lambda_1,bias/lambda_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,input_dim,l1_lambda,l1_smooth,l2_lambda,hidden_dim,output_dim,optimizer_cls,bias_model_kwargs,grad_match_loss_fn
jkc2esio,finished,vital-sweep-180,36.53642535209656,221,1749833956.7849023,{'runtime': 37},0.003483799053356051,0.30603256821632385,60,0.00011879667727043852,7599,146.94078063964844,10.0,10.0,0.01,1e-06,10,10.0,1e-06,10.0,200,1,Adam,,mse_loss
mp5sv6d6,finished,good-sweep-179,36.76730132102966,221,1749833924.5707474,{'runtime': 37},-0.003810987109318376,0.30874234437942505,60,0.00011925115541089326,7599,146.8132781982422,10.0,10.0,0.01,1e-05,10,10.0,1e-05,10.0,200,1,Adam,,mse_loss
a3ucl01p,finished,gentle-sweep-178,60.15180277824402,344,1749833922.3491187,{'runtime': 60},-0.003836501855403185,-3.0658559799194336,109,0.0177730992436409,13749,144.21214294433594,10.0,10.0,0.01,0.0001,10,10.0,0.0001,10.0,200,1,Adam,,mse_loss
dt6gudxy,finished,prime-sweep-176,36.45594787597656,221,1749833898.680676,{'runtime': 37},-1.5024994611740112,-1.500148892402649,60,0.00019674697250593456,7599,144.1142120361328,10.0,10.0,0.01,0.01,10,10.0,0.01,10.0,200,1,Adam,,mse_loss
bfln952e,finished,stellar-sweep-177,36.944493532180786,221,1749833899.1423495,{'runtime': 37},0.6371724605560303,0.635509192943573,60,0.00018698303028941152,7599,144.1139373779297,10.0,10.0,0.01,0.001,10,10.0,0.001,10.0,200,1,Adam,,mse_loss
82wkjicw,finished,pretty-sweep-175,37.25646090507507,221,1749833865.8435578,{'runtime': 38},0.003759857499971986,-0.24978645145893097,60,0.0001187616217066534,7599,146.88182067871094,10.0,1.0,0.01,1e-06,10,10.0,1e-06,1.0,200,1,Adam,,mse_loss
z8h46lpl,finished,easy-sweep-174,36.13547611236572,221,1749833839.992589,{'runtime': 36},0.003605793928727507,0.28655552864074707,60,0.00011869538866449147,7599,146.64382934570312,10.0,1.0,0.01,1e-05,10,10.0,1e-05,1.0,200,1,Adam,,mse_loss
yyqyxfar,finished,pious-sweep-173,36.39546847343445,221,1749833840.2426734,{'runtime': 37},0.003862429643049836,0.10194181650877,60,0.00010534311877563596,7599,144.20814514160156,10.0,1.0,0.01,0.0001,10,10.0,0.0001,1.0,200,1,Adam,,mse_loss
onehloo5,finished,scarlet-sweep-172,37.02809810638428,221,1749833840.867062,{'runtime': 37},0.6513853073120117,0.6496644616127014,60,0.00018940081645268947,7599,144.11392211914062,10.0,1.0,0.01,0.001,10,10.0,0.001,1.0,200,1,Adam,,mse_loss
s068th1w,finished,comfy-sweep-171,37.10119080543518,221,1749833806.1823547,{'runtime': 37},-1.5174412727355957,-1.5150426626205444,60,0.00019653586787171665,7599,144.11419677734375,10.0,1.0,0.01,0.01,10,10.0,0.01,1.0,200,1,Adam,,mse_loss
yk8pyfdl,finished,twilight-sweep-169,36.44626975059509,221,1749833780.5167549,{'runtime': 37},0.00366573641076684,-0.30603647232055664,60,0.0001185922883450985,7599,146.5920867919922,10.0,0.1,0.01,1e-05,10,10.0,1e-05,0.1,200,1,Adam,,mse_loss
lar13368,finished,sunny-sweep-170,36.79892158508301,221,1749833780.8512807,{'runtime': 37},-0.0036068465560674663,-0.30013614892959595,60,0.00011904600251000376,7599,146.7781524658203,10.0,0.1,0.01,1e-06,10,10.0,1e-06,0.1,200,1,Adam,,mse_loss
9vp16sfo,finished,sparkling-sweep-168,59.89859628677368,344,1749833784.0019343,{'runtime': 60},-0.0038915870245546103,-3.737905263900757,109,0.017769910395145416,13749,144.21014404296875,10.0,0.1,0.01,0.0001,10,10.0,0.0001,0.1,200,1,Adam,,mse_loss
heoyikev,finished,spring-sweep-167,37.007625579833984,221,1749833747.3039265,{'runtime': 37},0.8064156770706177,0.8039166927337646,60,0.00020936857617925853,7599,144.1138153076172,10.0,0.1,0.01,0.001,10,10.0,0.001,0.1,200,1,Adam,,mse_loss
aaxanbhh,finished,twilight-sweep-165,36.73560619354248,221,1749833721.1110392,{'runtime': 37},-0.0037920952308923006,0.4094173014163971,60,0.00011883938714163378,7599,146.79100036621094,10.0,0.01,0.01,1e-06,10,10.0,1e-06,0.01,200,1,Adam,,mse_loss
6qxdoexg,finished,bumbling-sweep-166,37.038520097732544,221,1749833721.4132142,{'runtime': 37},-1.5198363065719604,-1.517434000968933,60,0.00019655880169011652,7599,144.11419677734375,10.0,0.1,0.01,0.01,10,10.0,0.01,0.1,200,1,Adam,,mse_loss
dvjadjbg,finished,copper-sweep-164,36.57177400588989,221,1749833686.812786,{'runtime': 37},-0.003859692951664329,0.22346889972686768,60,0.00011922330304514615,7599,146.6692657470703,10.0,0.01,0.01,1e-05,10,10.0,1e-05,0.01,200,1,Adam,,mse_loss
y58njhux,finished,fragrant-sweep-163,59.79006242752075,344,1749833699.9843705,{'runtime': 60},0.005057013593614101,2.3699519634246826,109,0.017765183001756668,13749,144.21109008789062,10.0,0.01,0.01,0.0001,10,10.0,0.0001,0.01,200,1,Adam,,mse_loss
ez8cxxro,finished,vibrant-sweep-162,37.31420922279358,221,1749833662.296188,{'runtime': 38},0.3666034042835235,0.3657971918582916,60,0.00015275762416422367,7599,144.11427307128906,10.0,0.01,0.01,0.001,10,10.0,0.001,0.01,200,1,Adam,,mse_loss
1evg4xz2,finished,northern-sweep-161,36.969446897506714,221,1749833661.9498868,{'runtime': 37},-1.4901010990142822,-1.4877365827560425,60,0.00019487357349134984,7599,144.11419677734375,10.0,0.01,0.01,0.01,10,10.0,0.01,0.01,200,1,Adam,,mse_loss
s0p5rqmd,finished,sunny-sweep-160,35.79976177215576,221,1749833616.4754727,{'runtime': 36},0.0038644103333354,-0.1199154257774353,60,0.00011939193063881248,7599,146.79542541503906,10.0,0.001,0.01,1e-06,10,10.0,1e-06,0.001,200,1,Adam,,mse_loss
ug66e8op,finished,true-sweep-158,60.342817544937134,344,1749833627.1675265,{'runtime': 60},-0.0048428489826619625,-3.493184804916382,109,0.01776634156703949,13749,144.20692443847656,10.0,0.001,0.01,0.0001,10,10.0,0.0001,0.001,200,1,Adam,,mse_loss
cijcqcop,finished,glorious-sweep-159,36.765860080718994,221,1749833603.638317,{'runtime': 37},0.003610152285546064,0.3845939040184021,60,0.00011903594713658094,7599,146.6682891845703,10.0,0.001,0.01,1e-05,10,10.0,1e-05,0.001,200,1,Adam,,mse_loss
wnqtzaxw,finished,morning-sweep-157,36.01803970336914,221,1749833602.8439507,{'runtime': 36},0.7663730978965759,0.7640846371650696,60,0.00020424228569027036,7599,144.11383056640625,10.0,0.001,0.01,0.001,10,10.0,0.001,0.001,200,1,Adam,,mse_loss
qu992093,finished,zesty-sweep-156,35.97644257545471,221,1749833556.8421917,{'runtime': 36},-1.4324421882629397,-1.4301446676254272,60,0.00019160243391525,7599,144.11424255371094,10.0,0.001,0.01,0.01,10,10.0,0.01,0.001,200,1,Adam,,mse_loss
