id,state,name,_runtime,_step,_timestamp,_wandb,bias/lambda_1,bias/lambda_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,input_dim,l1_lambda,l1_smooth,l2_lambda,hidden_dim,output_dim,optimizer_cls,bias_model_kwargs,grad_match_loss_fn
1ntprmjt,finished,faithful-sweep-36,35.809197187423706,221,1749663604.3440802,{'runtime': 36},-1.5024994611740112,-1.500148892402649,60,0.00019674697250593456,7599,144.1142120361328,10.0,10.0,0.01,0.01,10,10.0,0.01,10.0,200,1,Adam,,mse_loss
7cnk9nb1,finished,soft-sweep-35,36.25449824333191,221,1749663590.1133974,{'runtime': 36},-1.5174412727355957,-1.5150426626205444,60,0.00019653586787171665,7599,144.11419677734375,10.0,1.0,0.01,0.01,10,10.0,0.01,1.0,200,1,Adam,,mse_loss
79v8p8bb,finished,solar-sweep-34,35.93946290016174,221,1749663589.8074598,{'runtime': 36},-1.5198363065719604,-1.517434000968933,60,0.00019655880169011652,7599,144.11419677734375,10.0,0.1,0.01,0.01,10,10.0,0.01,0.1,200,1,Adam,,mse_loss
jo45daum,finished,winter-sweep-33,36.44298315048218,221,1749663559.2804892,{'runtime': 37},-1.4901010990142822,-1.4877365827560425,60,0.00019487357349134984,7599,144.11419677734375,10.0,0.01,0.01,0.01,10,10.0,0.01,0.01,200,1,Adam,,mse_loss
ttfujlqu,finished,volcanic-sweep-32,35.513824462890625,221,1749663553.7198403,{'runtime': 36},-1.4324421882629397,-1.4301446676254272,60,0.00019160243391525,7599,144.11424255371094,10.0,0.001,0.01,0.01,10,10.0,0.01,0.001,200,1,Adam,,mse_loss
gq38bgr4,finished,vocal-sweep-31,35.77369737625122,221,1749663549.9214413,{'runtime': 36},-1.5114996433258057,-1.5091058015823364,60,0.00019607809372246263,7599,144.11419677734375,10.0,0.0001,0.01,0.01,10,10.0,0.01,0.0001,200,1,Adam,,mse_loss
nlrhjuz6,finished,zany-sweep-30,35.26632857322693,221,1749663532.7968826,{'runtime': 36},0.9385316371917723,0.9381717443466188,60,0.00021586730144917965,7599,144.11386108398438,1.0,10.0,0.01,0.01,10,1.0,0.01,10.0,200,1,Adam,,mse_loss
zbazpvao,finished,rosy-sweep-29,54.35344672203064,399,1749663548.3302877,{'runtime': 54},0.9877627491950988,1.0423587560653689,61,0.022685054689645767,7749,36.33491897583008,1.0,1.0,0.01,0.01,10,1.0,0.01,1.0,200,1,Adam,,mse_loss
cty3gqv5,finished,northern-sweep-28,72.39308905601501,497,1749663547.151941,{'runtime': 73},0.9964360594749452,0.09186212718486786,102,0.007448178250342608,12849,15.28452968597412,1.0,0.1,0.01,0.01,10,1.0,0.01,0.1,200,1,Adam,,mse_loss
mgmvkfty,finished,happy-sweep-27,72.87334084510803,602,1749663531.455947,{'runtime': 73},0.908589780330658,0.0003480252344161272,75,0.00537751242518425,9499,12.515053749084473,1.0,0.01,0.01,0.01,10,1.0,0.01,0.01,200,1,Adam,,mse_loss
cb8ue598,finished,lunar-sweep-26,74.13433384895325,602,1749663497.964099,{'runtime': 74},0.904808759689331,-0.00797600019723177,75,0.005646690260618925,9499,12.177465438842772,1.0,0.001,0.01,0.01,10,1.0,0.01,0.001,200,1,Adam,,mse_loss
dtikljzl,finished,flowing-sweep-25,74.65397906303406,602,1749663493.3986611,{'runtime': 75},0.9042522311210632,-0.008775818161666393,75,0.005679342430084944,9499,12.142422676086426,1.0,0.0001,0.01,0.01,10,1.0,0.01,0.0001,200,1,Adam,,mse_loss
