id,state,name,_wandb,l1,l2,lr,smooth,input_dim,l1_lambda,l1_smooth,l2_lambda,hidden_dim,output_dim
2ymlqo7b,failed,dulcet-sweep-36,{'runtime': 1},10.0,10.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,10.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10.0,200,1
jb69mb8e,failed,gentle-sweep-35,{'runtime': 1},10.0,1.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,10.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",1.0,200,1
byuyjeun,failed,rich-sweep-33,{'runtime': 1},10.0,0.01,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,10.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.01,200,1
awmxf3n0,failed,peach-sweep-32,{'runtime': 1},10.0,0.001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,10.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.001,200,1
5lelytf6,failed,deep-sweep-34,{'runtime': 1},10.0,0.1,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,10.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.1,200,1
i164j9q3,failed,vital-sweep-31,{'runtime': 1},10.0,0.0001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,10.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.0001,200,1
rx0we3gl,failed,fine-sweep-29,{'runtime': 1},1.0,1.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,1.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",1.0,200,1
aedhugkm,failed,iconic-sweep-30,{'runtime': 1},1.0,10.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,1.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10.0,200,1
t1ov1pc2,failed,stilted-sweep-28,{'runtime': 1},1.0,0.1,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,1.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.1,200,1
n2fjr0fe,failed,comfy-sweep-27,{'runtime': 1},1.0,0.01,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,1.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.01,200,1
u4mn8e8p,failed,efficient-sweep-25,{'runtime': 1},1.0,0.0001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,1.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.0001,200,1
n2fjr0fe,failed,comfy-sweep-27,{'runtime': 1},1.0,0.01,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,1.0,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.01,200,1
v8k1w2e7,failed,vital-sweep-22,{'runtime': 1},0.1,0.1,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.1,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.1,200,1
j8d0nucj,failed,proud-sweep-23,{'runtime': 1},0.1,1.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.1,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",1.0,200,1
ocl7nxgy,failed,resilient-sweep-24,{'runtime': 1},0.1,10.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.1,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10.0,200,1
rncbk2gm,failed,lemon-sweep-21,{'runtime': 1},0.1,0.01,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.1,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.01,200,1
510q6dwm,failed,super-sweep-18,{'runtime': 1},0.01,10.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.01,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10.0,200,1
qkf8y2ev,failed,rare-sweep-19,{'runtime': 1},0.1,0.0001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.1,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.0001,200,1
p0sa9y03,failed,trim-sweep-20,{'runtime': 1},0.1,0.001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.1,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.001,200,1
phiy05t9,failed,golden-sweep-15,{'runtime': 1},0.01,0.01,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.01,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.01,200,1
fjbhj244,failed,pious-sweep-17,{'runtime': 1},0.01,1.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.01,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",1.0,200,1
i3escstc,failed,bumbling-sweep-16,{'runtime': 1},0.01,0.1,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.01,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.1,200,1
ftuoy19n,failed,proud-sweep-14,{'runtime': 1},0.01,0.001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.01,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.001,200,1
li2qb023,failed,brisk-sweep-10,{'runtime': 1},0.001,0.1,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.1,200,1
j72c26nl,failed,dark-sweep-9,{'runtime': 1},0.001,0.01,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.01,200,1
f3vfqezc,failed,dutiful-sweep-11,{'runtime': 1},0.001,1.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",1.0,200,1
ejiswkox,failed,silver-sweep-12,{'runtime': 1},0.001,10.0,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10.0,200,1
4axltmmn,failed,eternal-sweep-13,{'runtime': 1},0.01,0.0001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.01,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.0001,200,1
thwre3qw,failed,hearty-sweep-8,{'runtime': 1},0.001,0.001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.001,200,1
kqyyplus,failed,floral-sweep-7,{'runtime': 1},0.001,0.0001,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",10,0.001,"[0.01, 0.001, '1e-4', '1e-5', '1e-6']",0.0001,200,1
